,idx,msg_txt,annotation
35,36,"  Ekaterinburg 2500 km from Kyiv, some incomprehensible situation and smoke, maybe Mr. Bavovnyuk came? They say he has a long arm 😈  2023 is the year of burning Russia and big cotton in all Muscovite cities.     Hold on, dear ones, we will not be broken, and the Muscovites will come 3.14zdets  https//t.me/operativnoZSU ",0
36,37,"  Preliminary, 23 air targets were shot down over the capital. In Dniprovskyi district, rocket fragments were found on the roadway. There were no casualties, - KMVA.    @antiitforce ",1
37,39,  A series of explosions over Kyiv.    Air defense is working.    @antiitforce ,1
38,40,  So that all Russians die  @antiitforce ,0
39,41,  Everything is standard in the center of the sosia.     @antiitforce ,0
40,43,  Nothing to add 🔥  🇺🇦 Ukraine Now ,0
41,44,"  How Kyiv residents react to night explosions.    In the repertoire the anthem of Ukraine, ""Chervona Kalyna"", ""Glory to Ukraine - Glory to the Nation"".     Ukrainians, you are extraordinary!  Thanks for the video to our subscriber! ",0
42,45,  Whom do these Muscovite bitches want to break?  The nation of the unconquered!  https//t.me/operativnoZSU ,0
43,46,  New Year 2023 through the eyes of every Ukrainian.    👉 Subscribe to ZN.UA ,0
44,47,  KMWA on the missile attack on the capital  🇺🇦The Real War ,1
45,48,  ❗Nickname Explosions are heard in the capital. Air defense is working.    🇺🇦The Real War ,1
46,49,  ❗Kim warns of threat from the air  🇺🇦The Real War ,0
47,50,  🤬Air alarm all over Ukraine! Take care of yourself  🇺🇦Real War ,1
48,51,  Glory to Ukraine.    This is how the capital sounds on New Year's Eve!  🇺🇦 Real War ,0
49,52,"  This is how the puilo ""congratulated"" Muscovites on the New Year 👹  Russian telegram channels distribute these videos and write that on the red square without any reason and explanation they are packed into cars.     Rusnya, understand the fact that you are slaves who deserve their president.     🇺🇦The Real War ",0
50,53,  2023 is the year of the Armed Forces of Ukraine  https//t.me/operativnoZSU ,0
51,54,  KIAA showed a fragment from a downed missile in Dniprovskyi district of Kyiv  https//t.me/operativnoZSU ,0
52,55,  Two opposite poles of the universe on New Year's Eve  https//t.me/operativnoZSU ,0
53,56,  ❤️ Air defense has already shot down 23 air targets over the capital.    @babel ,1
54,57,"  Explosions in Kyiv, air defense works.    @babel ",1
55,58,  Keep the iron with a margin 😁  https//t.me/operativnoZSU ,0
56,59,  Shahids are reported to be moving in the south of Kyiv region towards Ukrainka  send news👉@novosti_kieva_bot 👉FOLLOW ,1
57,60,  Another shahid was shot down  It is unknown how many more and when they will be shot down.    send news👉@novosti_kieva_bot 👉FOLLOW ,1
58,61,"  About 3 minutes later, another one arrived ",0
59,62,"  So far, so quiet. Perhaps soon they will give the all-clear  send news👉@novosti_kieva_bot 👉FOLLOW ",0
60,63,  Another shahid was shot down on the approach to Kyiv  send news👉@novosti_kieva_bot 👉FOLLOW ,1
61,64,"  More crashes in the north🦾  What was it someone said? ""We're killing them.""  send news👉@novosti_kieva_bot 👉FOLLOW ",1
62,65,  A fragment from a downed rocket in Dniprovskyi district - KMVA  send news👉@novosti_kieva_bot 👉FOLLOW ,0
63,66,  And this is how they celebrate the New Year in Moskvastan😂  And who is worse?)  send news👉@novosti_kieva_bot 👉FOLLOW ,0
64,67,  Fixation of drones in the South of Kyiv region. There are also reports of shooting down  send news👉@novosti_kieva_bot 👉FOLLOW ,1
65,69,  Military events that Ukrainians remembered most last year ,0
66,70,  ❗️Night attack on Kyiv - KMWA  Preliminary information.    Data is being clarified.    About 23 air targets were shot down over the capital.    Rocket fragments were found on the roadway in Dniprovske. There were no casualties. ,1
67,71,  Forwarded from Kiev. Main There were explosions on the right bank of the capital ,1
68,72,"  365 days in a minute - an overview of the key events of 2022 according to the BBC.    Journalists did not ignore Russia's invasion of Ukraine, war crimes of the occupiers, the victory of the Ukrainian band Kalush Orchestra at the Eurovision Song Contest.    As well as the assassination of Japanese Prime Minister Shinzo Abe, the death of Queen Elizabeth II and the change of several prime ministers in the country, anti-covid protests in China, protests against the abortion ban in the United States and large-scale protests in Iran, which still do not subside.    👉 Subscribe to ZN.UA ",0
69,73,  2 explosions in 5 minutes on the left bank (heard closer to the outskirts)  Preliminary air defense.    send news👉@novosti_kieva_bot 👉FOLLOW ,1
70,74,  0433 the situation is calm  We are updating the situation below    send news👉@novosti_kieva_bot 👉FOLLOW ,0
71,75,"  According to preliminary information, air defense forces destroyed 32 enemy air targets.    Stay in shelters, air alert is still in effect.  send news👉@novosti_kieva_bot 👉FOLLOW ",1
72,76,  Air defense forces have already destroyed 29 air targets - KMIA  send news👉@novosti_kieva_bot 👉FOLLOW ,1
73,77,"  Air alert was sounded in the eastern regions  Preliminary activity of enemy aviation, but a repeated wave of drones over Dnipropetrovsk region\\Zaporizhzhia is not excluded.    send news👉@novosti_kieva_bot 👉FOLLOW ",1
74,78,  Several explosions on the left bank. Car alarms were triggered  Preliminary air defense  send news👉@novosti_kieva_bot 👉FOLLOW ,1
75,79,  There were strikes in neighboring regions  send news👉@novosti_kieva_bot 👉FOLLOW ,1
76,80,  Explosion on the right bank - air defense training  Also one on the left.    UPD information about the left bank was not confirmed  send news👉@novosti_kieva_bot 👉FOLLOW ,1
77,81,"  In Kiev, air defense forces have already destroyed 32 air targets...  🇺🇦 Ukraine Now ",1
78,82,"  North Korean leader Kim Jong-un threatens South Korea with nuclear weapons.    The missiles are planned to be launched from ""600 mm caliber MLRS systems"".     Against this background, Kim called for the mass production of tactical nuclear weapons.    👉 Subscribe to ZN.UA ",0
79,85,"  ❎ RETURN  Good night, happy holidays and Happy New Year!  send news @novosti_kieva_bot 👉SUBSCRIBE ",0
80,86,"  Due to mass protests, a split is brewing in Iran's military elites - Institute for the Study of War (ISW).    Some Iranian military leaders are against the current government's brutal measures against protesters and refuse to participate in the suppression of protests. The Islamic Revolutionary Guard Corps criticizes them, calling them traitors.     Analysts report that these are high-ranking officers, ""who are now 50-60 years old and many of them are generals"".     **According to human rights activists, at least 469 protesters, including 64 minors, have been killed since the beginning of mass protests in Iran. More than 18 thousand people have been detained by security forces.    👉 Subscribe to ZN.UA ",0
81,87,"  At night, law enforcers detained a man in Vinnytsia who was launching fireworks during air raid - Main Office of the National Police in Vinnytsia region.    A 45-year-old resident of the city around 0030 decided to celebrate the upcoming New Year by launching fireworks, despite the general ban.    The man was detained by the police and taken to the district police station to find out all the circumstances of the incident. Now the fireworks lover faces imprisonment for up to five years.    👉 Subscribe to ZN.UA ",0
82,88,  The military administration of Kyiv reported that 32 air targets were destroyed in the sky of the capital. Kyiv is still on air alert.     @babel ,1
83,89,  Soldiers of the 40th separate artillery brigade named after Grand Duke Vitovt wish you good mood  https//t.me/operativnoZSU ,0
84,90,"  According to preliminary information of the KIAA, air defense forces destroyed 32 enemy air targets over the capital  The air alert on New Year's Eve lasted more than 4 hours.    https//t.me/operativnoZSU ",0
85,91,  The Navy of the AFU showed how the year 2022 passed for them  Thank you to our Heroes for protecting 🙏🏻  🇺🇦 Ukraine Now ,0
86,93,"  Over the last week about 350 wounded occupants were delivered to the hospital in Bilovodsk, Luhansk region - General Staff.    It is also known that on December 30 in Zaporizhzhya region, enemy losses amounted to 160 wounded occupants. In addition, 10 units of enemy vehicles of various types were destroyed in this area. Information about the liquidated invaders is still to be clarified.    👉 Subscribe to ZN.UA ",0
87,94,"  Donald Trump's tax returns show he received income from more than a dozen countries during his tenure as US president - Politico.    The documents, released after a lengthy legal battle, disclose income from 2015 to 2020. It turned out that they went to the accounts of the billionaire's companies from many foreign countries, including Canada, Panama, the Caribbean island of St. Maarten, the Philippines, the United Arab Emirates and the United Kingdom, among others.    The obtained materials are being studied by experts and can be used in the future to prove Trump's guilt in financial fraud during the presidency.     **The former US president is accused of combining his business interests with America's highest public office, using it to promote his own private resorts, funnel federal money to his hotels and encourage foreign governments to spend money that would directly benefit the Trump family's interests.    👉 Subscribe to ZN.UA ",0
88,95,"  The most important thing is that we will continue to stand by Ukraine, - President of the European Parliament Roberta Metzola.    ""Next year we must redouble our efforts to protect our values freedom, democracy, justice, equality, solidarity and the rule of law. Without them, we have nothing. We will be together with Ukraine for peace with freedom, peace with dignity. Let the next year demonstrate the strength of European unity in the ability to achieve progress,"" Metzola said in her New Year greetings.    👉 Subscribe to ZN.UA ",0
89,96,"  Germany has started production of wheeled RCH-155 for Ukraine - Nicholas Drummond, advisor to the manufacturer KMW.    RCH-155 is a development of Kraus-Maffei Wegmann. Like the Panzerhaubitze 2000, the artillery unit is characterized by a high level of automation of all systems, and the tower in the machine is unmanned.    Drummond did not say when the Armed Forces of Ukraine will be able to receive the new self-propelled artillery systems into service.  👉 Subscribe to ZN.UA ",0
90,97,"  Minister of Energy of Ukraine Herman Halushchenko said that ""Thanks to the excellent work of air defense and early technical measures today, on December 31, 2022, it was possible to avoid serious damage to the power system of Ukraine. Power engineers are working non-stop to restore power supply"".    https//t.me/operativnoZSU ",0
91,98,  Sich members congratulate everyone on the coming New Year and birthday of Stepan Bandera!  https//t.me/operativnoZSU ,0
93,101,"  The mobilization process in Russia can last for a very long time, - the Chief of the Defence Intelligence of Ukraine Kyrylo Budanov.    ""They mobilize people constantly. In waves, one after another. The stock of human resources in Russia is quite significant, they can call for a very long time. But the Armed Forces have enough ammunition. Yes, there are certain tactical problems in some areas of the front, but I want to remind you that the Russians say that they have taken Bakhmut since the end of July, but what's next?"" Budanov said during the telethon.    👉 Subscribe to ZN.UA ",0
94,102,  Forbes published a list of 20 major battles of Ukraine in the war with Russia  🇺🇦 Ukraine Now ,0
95,103,"  American diplomats, during the night attack of Russians on Kyiv and the region, chose their favorite phrase of 2022  https//t.me/operativnoZSU ",0
96,104,"  ""2022 has been an incredibly busy year for the British Army. We stood shoulder to shoulder with our Ukrainian friends and NATO partners to resist Russia's illegal invasion of Ukraine. We continue to defend the nation's interests at home and abroad."" - The Chief of the Defence Staff of the British Armed Forces, General Sir Patrick Sanders, wishes you a Merry Christmas and a Happy New Year.    https//t.me/operativnoZSU ",0
97,105,"  Chief of the Defence Intelligence of Ukraine Major General Kyrylo Budanov Russians have enough missile stocks for two or three more massive attacks on Ukraine  - Under very favorable conditions, Russians can produce up to 50 X-101 and Kalibr missiles per month. That is, for one missile attack on Ukraine, Russians need to work for one and a half to two months, - Kyrylo Budanov said.    Also, the engine resource of Russian aircrafts is being exhausted.    - Strategic bombers-missile carriers have to cover quite a long distance to launch missiles. Now Russian bombers do not approach the usual areas of attack they take off, make a circle or two in the sky and launch missiles practically over the airfield to reduce the aircraft's engine life.    According to him, Russia currently has about 70 bombers Tu-160 and Tu-95. They have about 70-80 units of Tu-22M. About 40% of them are faulty.     https//t.me/operativnoZSU ",0
98,106,  American diplomats chose their favorite phrase of 2022 during the night attack of the Russians on Kiev and the region 😊  🇺🇦 Ukraine Now ,0
99,107,"  🇺🇦 This is how Ukrainians inspired the air defense forces on New Year's Eve.     Our military defended the sky over Kyiv and other cities to the national anthem performed by Ukrainians.     The enemy can shell our cities and destroy buildings, but he will never be able to break the spirit of the people!  👉 Subscribe to ZN.UA ",0
100,109,"  Today Stepan Bandera celebrates his birthday - the one whom Kadyrov can not find😃  ""Our natural environment has become competition, the content of our life is struggle"".    🇺🇦The Real War ",0
101,110,"  It seems that Putin still has not understood that Ukrainians are made of iron, - US Ambassador to Ukraine Bridget Brink.    ""Unbelievable. Russia coldly and cowardly attacked Ukraine in the first hours of the new year. But Putin still doesn't seem to understand that Ukrainians are made of iron. America is absolutely confident that Ukraine will win in 2023. Glory to Ukraine!"" - the diplomat wrote, commenting on the night shelling.     👉 Subscribe to ZN.UA ",0
102,111,"  Russia is killing civilians!  On December 31, Russians wounded 1 civilian in Donetsk region - in Dalne.    It is currently impossible to establish the exact number of victims in Mariupol and Volnovakha.    https//t.me/operativnoZSU ",0
103,112,"  The warriors of the 2nd Battalion of the 67th Mechanized Brigade congratulate the subscribers of the ""Operational Armed Forces"" channel on the New Year of our victories!    https//t.me/operativnoZSU ",0
104,113,"  Forwarded from heavenly cara☠️🇺🇦                             Oh oh, ...seeing off the old year, a bunch of dead blondes...   Let it burn and burn..welcome the powerful UA🇺🇦 new year!!!)👉✈️☠️🎄🇺🇦💪 ",0
105,114,"  During the night attack on Kyiv, American diplomats in the capital chose their favorite phrase of 2022.    The words of one of the Ukrainian defenders of Zmiinyi Island, addressed to the ""Russian warship"" in the first days of the full-scale invasion, won.    👉 Subscribe to ZN.UA ",0
106,115,  Our air defense destroyed 45 Shahids on New Year's Eve 🔥  13 shot down in 2022 and 32 in 2023.    🇺🇦 Ukraine Now ,0
107,117,"  The wreckage of one of the shahids shot down at night was published by Andrey Nebitov, head of the Main Directorate for National Security in the Kiev region  ""You can say both cheap and tasteless! The real orco is style. And this wreckage is not at the front, where persistent fighting is going on, it is here, on the playground, where children are playing. That's all there is to know about the terrorist state and its army,"" wrote Nebitov.    🇺🇦 Ukraine Now ",0
108,118,"  In the area of the border village of Lyman Druhyi in Kupyansk region, the occupants have intensified counterintelligence measures. Their goal is to identify pro-Ukrainian people, the General Staff reported on January 1 ",0
109,119,"  Dear family, happy New Year 2023! ",0
110,303,"  Utilities are working near residential buildings in Mykolaiv, which were damaged by Russian shelling yesterday.    Send news 👉 @niko9_bot 👉 SUBSCRIBE ",0
111,121,  45 mopeds destroyed on New Year's Eve!  send news @novosti_kieva_bot 👉SUBSCRIBE ,1
112,122,"  🚇 Trains run on the ""red"" metro line from Akademmistechko to Arsenalna  On the tracks of the open area, foreign objects were found, similar, according to preliminary information, to the fragments of a rocket. The explosive service is working.     We will inform you additionally about the resumption of traffic on the ""red"" line.    send news @novosti_kieva_bot 👉SUBSCRIBE ",0
113,123,  🔥 Total enemy combat losses from 24.02.2022 to 01.01.2023 ,0
114,124,"  In the area of the border village of Lyman Druhyi in Kupyansk region, the occupants have intensified counterintelligence measures. Their goal is to identify pro-Ukrainian people, the General Staff reported on January 1 ",0
115,125,"  On New Year's Eve, Ukrainian air defense forces shot down 45 shahedin  Insider UA | Subscribe ",0
116,126,  In the Kiev region as a result of a night attack by shahid drones damaged infrastructure - head of the OVA Dmitriy Kuleba  🇺🇦 Ukraine Now ,0
117,128,"  Nebitov showed the wreckage of the ""Shahed"" that fell on the playground in Kyiv region  ""Here it is, part of the New Year's greetings from the ""brotherly people"". You can say both cheap and tasteless! A real orko-style."" - wrote the head of the police of Kyiv region.     🇺🇦Real War ",0
118,129,  🥳🎄+760!  A gift under the Christmas tree from the Armed Forces.     🇺🇦Real War ,0
119,130,"  Rascal Povaliy entertained the Rascists on New Year's Eve  She sang ""Chervona Ruta"" during the New Year's Eve ""fire"" on RosTV exactly when the Russian Federation was shelling her home country.     🇺🇦Real War ",0
120,131,"  On New Year's Eve, air defense systems destroyed 45 Iranian drones  13 ""shahids"" shot down in 2022 and 32 already in 2023.    submit news @niko9_bot 👉SIGN UP ",0
121,133,"  ""We will continue to stand by Ukraine"" - the head of the European Parliament Roberta Metsola recorded a New Year's address  ""In 2023, we must redouble our efforts to defend our values. Most importantly, we will continue to support Ukraine - for peace and freedom, peace and dignity, peace and security,"" said Metsola.    🇺🇦 Ukraine Now ",0
122,134,"  Briefly about the situation in Kharkiv region  Kupyansk, Vovchansk and other settlements of Kupyansk, Chuhuiv and Kharkiv districts were under fire.    In Kupyansk, as a result of enemy shelling, outbuildings were damaged and large-scale fires broke out.     Ukrainian Defense Forces are fighting with the enemy on the contact line, inflicting new losses on the occupants every day.    Send news 👉 @Kharkiv_Lifebot 👉 SUBSCRIBE ",1
123,135,"  According to preliminary information, there were no casualties as a result of the night attack of drones on Kyiv, - the head of the OVA Oleksiy Kuleba.    ""At night, the Kyiv region repelled an attack by shahid drones. The terrorist country aimed at energy infrastructure facilities. Almost three dozen drones were launched in the region. Preliminary, no casualties. There is damage to the infrastructure,"" - the official said.     👉 Subscribe to ZN.UA ",0
124,136,  💪🇺🇦45 strike UAVs destroyed over Ukraine on New Year's Eve!    13 in 2022 and 32 in 2023. It did not work to spoil the holiday for Ukrainians! ,0
125,137,"  ⚔️ The 312th day of the Russian large-scale invasion has begun.    💪 Last 24 hours, Ukrainian defenders repelled attacks of Russian invaders near nine settlements Stelmakhivka, Razdadka and Belogorivka in Luhansk region and Soledar, Bakhmutskoye, Bakhmut, Ozaryanivka, Marinka and Pobeda in Donetsk region.    😡The enemy launched 31 missile and 12 air strikes and carried out over 70 shelling attacks from MLRS the infrastructure of Chernihiv, Sumy, Kyiv, Khmelnytskyi, Donetsk, Zaporizhia, Mykolaiv and Kherson regions was affected,"" the AFU General Staff said in a morning report. ",0
126,138,  Vinnytsia police detained a local 45-year-old man who was launching fireworks on New Year's Eve. Now he faces up to 5 years in prison.    @babel ,0
127,139,"  Explosion in Kabul this morning leaves dead and wounded - Al Jazeera.    The explosion occurred near the military airport. Currently, 10 dead and eight injured people are known. Rescuers are still working at the scene.    The cause of the explosion and other details are not reported at the moment.    👉 Subscribe to ZN.UA ",0
128,140,"  The head of the National Police of Kyiv region showed the wreckage of a kamikaze drone that flew over Kyiv at night. Russians left a ""greeting"" on it. Its fragments fell on a sports ground.    @babel ",0
129,162,"  A restaurant from the ""Taras Bulba"" chain of Ukrainian restaurants is on fire in Moscow on Sadovoe Ring 🔥  The fire is burning on the territory of 200 square meters, and there is a threat of ceiling collapse. The cause of the fire is still unknown.     🇺🇦 Ukraine Now ",0
130,163,"  Police in the Kiev region publish a photo of the wreckage of the Geranium drone that was shot down tonight.    On the tail fins are ""congratulations"" on the New Year from the Russians. ",0
131,142,  muscovy continues 🔥🔥🔥  https//t.me/operativnoZSU ,0
132,143,"  At night, Kyiv region repelled an attack by shahid drones. The terrorist country was targeting energy infrastructure facilities. Almost three dozen drones were launched in the region.     Preliminary, no casualties. There is damage to the infrastructure. Emergency services were working at the crash sites all night.    Oleksiy Kuleba  https//t.me/operativnoZSU ",1
133,145,  The calendar year 2023 in Odesa and the region began with an air raid alarm.    There was no shelling.    The enemy again began to disperse another fake offensive in the South of Ukraine. We adhere to information hygiene.    Serhiy Bratchuk  https//t.me/operativnoZSU ,0
134,146,"  Fighting for Nesterianka ""Spaniard"" evacuated 40 wounded  https//t.me/operativnoZSU ",0
135,147,"  Trains on the ""red"" metro line run from ""Akademmistechko"" to ""Arsenalna""  Foreign objects, similar, according to preliminary information, to rocket fragments, were found on the tracks of the open area. The explosive service is working.     We will inform you additionally about the resumption of traffic on the ""red"" line.    KSCA  https//t.me/operativnoZSU ",0
136,148,"  It was in 2022 that the Volunteer Ukrainian Corps became a part of the Armed Forces to burn the Russian scum side by side with its army brothers. We are one step away from our common Victory and it is this faith and our confidence that make the occupiers shudder in horror, drop their weapons and run away.     https//t.me/operativnoZSU ",0
137,149,"  Good morning, Moscow🔥🔥🔥🔥  https//t.me/operativnoZSU ",0
138,150,"  ⚡️Sumy region Situation at the border as of 0930 January 1, 2023  ▪️Around midnight, on December 30, Russians fired mortars at the Seredyno-Budska community. There were 6 arrivals.     The rest of the night was without shelling.     Dmytro Zhyvytskyi/Sumy OVA  https//t.me/operativnoZSU ",1
139,151,"  Yesterday Nikolaev was shelled by 6 Iskander-type missiles according to the AFU, - head of the OVA Vitaly Kim  🇺🇦 Ukraine Now ",1
140,152,"  Forwarded from SOCIAL NEWS On New Year's Eve, air defense forces shot down 45 Shahed drones over Ukraine, the Air Force reported. ",1
141,153,"  On New Year's Eve, the Ukrainian Armed Forces destroyed 45 ""shaheeds"" - the Air Forces of Ukraine.    👉Subscribe to ZN.UA ",0
142,154,"  That night, air defense forces shot down 45 Shahed drones.    13 of them were shot down in 2022, and 32 - in 2023.    @strichka_ua - stay up to date ",0
143,155,"  Traffic on the ""red"" subway line is limited in Kiev today - press service of the Kyiv City State Administration  On the tracks were found foreign objects that look like rocket fragments.    The movement of trains is from ""Akademgorodok"" to ""Arsenalnaya"".    🇺🇦 Ukraine Now ",0
144,156,"  A restaurant from the ""Taras Bulba"" chain of Ukrainian cuisine restaurants is on fire in Moscow's Sadovoe Ring.     The fire covers 200 square meters and threatens to collapse the ceilings.    The cause of the fire is still unknown. The fire is assigned the first category of complexity. ",0
145,157,"  Forwarded from SOCIAL NEWS On New Year's Eve, air defense forces shot down 45 Shahed drones over Ukraine, the Air Force reported. ",1
146,158,"  On the New Year's Eve, Russians attacked Ukraine with missiles, and on New Year's Eve they attacked with drones, 140 defenders were rescued from captivity. The war. Day 312 online ""Babel""  🇺🇦In Ukrainian - https//baa.nu/t8nVmv 🇺🇸English - https//baa.nu/0g3p7m ",0
147,159,"  In the center of Moscow, a three-story restaurant ""Taras Bulba"" is on fire.    Rosmedia writes that the building is almost entirely made of wood, so the floors have already started to collapse. The fire area is currently 180 square meters.  There is no information about the victims yet.      **The New Year does not cancel the tradition of ""fiery"" mornings, which is usual for Russians.    👉Subscribe to ZN.UA ",0
148,160,"  🇺🇦 HAPPY NEW VICTORIOUS YEAR 2023!  One wish for everyone - Victory!  Our pilots have already ""congratulated"" the occupiers!  https//t.me/operativnoZSU ",0
149,161,"  ⏳900 Minute of silence  🕯46-year-old Sergeant Ruslan Serhiienko died on May 27, 2022, during a reconnaissance mission near the city of Bakhmut, Donetsk region. A group of defenders came under enemy fire from Grad near the village of Pokrovske.    Ruslan was born in Baturyn, Chernihiv region. He studied at Baturyn secondary school of I-III levels. After school, he was drafted into the Armed Forces of Ukraine as a conscript. When he was demobilized, he returned to his hometown. He worked in the field of construction. He was interested in history, loved nature.    In March 2015, he volunteered to join the Armed Forces of Ukraine. He defended the eastern borders of our state, was wounded. Subsequently, he returned to civilian life and work.    On the first day of the full-scale war, February 24, 2022, Ruslan rejoined the Armed Forces of Ukraine. As part of the 58th separate motorized infantry brigade named after Hetman Ivan Vyhovskyi, he participated in the defense of the Kyiv region. In May, their unit went to Donetsk region.    ""He was one of those people who appear and everything brightens around,"" said Maryna, the girlfriend of the deceased.    Ruslan was buried in his native Baturyn, Chernihiv region. The defender is survived by his son Matvii. ",0
150,323,  Vladimir Zelensky during his New Year's address in 2022 and 2023  The war has changed us all...    🇺🇦 Ukraine Now ,0
151,165,"  ⚡️ On New Year's Eve, the Air Defense Forces shot down 45 Shahed  On the night of December 31, 2022 to January 1, 2023, the Russian occupiers attacked Ukraine with Iranian-made Shahed-131/136 kamikaze drones. ",0
152,166,"  At least such cotton three-storey restaurant ""Taras Bulba"" is on fire in the center of Moscow  Roszmedia writes that the building is almost entirely made of wood, so the floors have already begun to collapse. The fire area is currently 180 square meters.  🇺🇦Real War ",0
154,168,  💪 Air defense destroyed 45 Shahids on New Year's Eve  13 were shot down in 2022 and 32 - in 2023  🇺🇦Real War ,0
155,169,  Almost 30 shahids were launched in Kyiv region at night - Kuleba  🇺🇦Real Votsna ,1
